Ticker,Target,Horizon,Model,Feature_1,Direction_1,Feature_2,Direction_2,Feature_3,Direction_3
GAL,Close,10,Random Forest,Close_to_SMA_200,up,Close_to_SMA_50,up,Rolling_Min_20,down
HBL,Close,10,XGBoost,Rolling_Min_20,down,Close_to_SMA_50,up,ATR_Pct,up
HINOON,Close,10,Random Forest,Close_to_SMA_200,down,Rolling_Min_20,down,Month,up
MEHT,Close,10,Random Forest,Close_to_SMA_200,up,BB_Bandwidth,up,MACD_Pct,up
MUREB,Close,10,Random Forest,Close_to_SMA_200,down,Rolling_Min_20,down,Month,up
PABC,Close,10,Random Forest,Close_to_SMA_200,down,Rolling_Min_20,down,Month,up
PGLC,Close,10,Random Forest,ATR_Pct,down,Month,up,Close_to_SMA_200,down
PPL,Close,10,Random Forest,Rolling_Min_20,down,Close_to_SMA_200,down,Month,up
PSO,Close,10,Random Forest,Close_to_SMA_200,down,Rolling_Min_20,down,Month,up
SEARL,Close,10,Random Forest,Close_to_SMA_200,down,Rolling_Max_20,up,Rolling_Min_20,down
SHFA,Close,10,Random Forest,Close_to_SMA_200,down,Rolling_Min_20,down,Month,up
SSOM,Close,10,XGBoost,Close_to_SMA_200,down,BB_Bandwidth,down,Rolling_Min_20,down
ABL,Close,20,Random Forest,Close_to_SMA_200,down,Month,down,Rolling_Min_20,down
AIRLINK,Close,20,XGBoost,Month,down,Close_to_SMA_200,down,Volume_SMA_20,down
AKBL,Close,20,Random Forest,Month,down,Close_to_SMA_200,down,Volume_SMA_20,down
APL,Close,20,XGBoost,Month,down,ATR_Pct,up,Close_to_SMA_200,down
ATRL,Close,20,XGBoost,Rolling_Min_20,down,Month,down,Ticker_encoded,down
BNWM,Close,20,XGBoost,Rolling_Max_20,up,Month,down,Volatility_20,down
BWCL,Close,20,XGBoost,Month,down,Close_to_SMA_200,down,Volume_SMA_20,up
GAL,Close,20,Random Forest,Month,down,Ticker_encoded,down,Volume_SMA_20,down
GLAXO,Close,20,Random Forest,Month,down,Close_to_SMA_200,down,Rolling_Min_20,down
NESTLE,Close,20,Random Forest,Volume_SMA_20,up,Close_to_SMA_200,down,Close_to_SMA_50,down
NETSOL,Close,20,Random Forest,Month,down,Close_to_SMA_200,down,Rolling_Min_20,down
PABC,Close,20,Random Forest,Close_to_SMA_200,down,BB_Bandwidth,down,Month,down
PAKT,Close,20,XGBoost,Ticker_encoded,down,Low,down,Month,down
PKGS,Close,20,XGBoost,Month,down,Rolling_Min_20,down,BB_Bandwidth,down
POWER,Close,20,XGBoost,Month,down,Volume_SMA_20,down,Rolling_Min_20,up
PTC,Close,20,Random Forest,Close_to_SMA_200,up,Volume_SMA_20,down,Month,down
RMPL,Close,20,Random Forest,Volume_SMA_20,up,Close_to_SMA_200,down,Month,down
SAZEW,Close,20,XGBoost,Rolling_Max_20,up,Volume_SMA_20,up,Month,down
SHFA,Close,20,XGBoost,Month,down,Close_to_SMA_200,down,Volatility_20,down
SSOM,Close,20,Random Forest,Month,down,Rolling_Min_20,down,Close_to_SMA_200,down
SYS,Close,20,XGBoost,Close_to_SMA_200,down,Month,down,Ticker_encoded,up
ABL,Close,60,XGBoost,Volatility_20,down,Ticker_encoded,up,Close_to_SMA_200,down
AIRLINK,Close,60,XGBoost,Month,up,Rolling_Max_20,down,Close_to_SMA_200,down
APL,Close,60,Random Forest,Volatility_20,down,Month,up,Rolling_Min_20,down
BAHL,Close,60,XGBoost,Volatility_20,down,Close_to_SMA_200,down,Rolling_Max_20,down
BNWM,Close,60,XGBoost,Volatility_20,down,Month,up,Ticker_encoded,down
BWCL,Close,60,Random Forest,Month,up,Volatility_20,down,Rolling_Min_20,down
CPHL,Close,60,XGBoost,Close_to_SMA_200,down,Volatility_20,down,Month,up
ENGROH,Close,60,XGBoost,Rolling_Max_20,down,Rolling_Min_20,down,Ticker_encoded,down
HCAR,Close,60,Random Forest,Close_to_SMA_200,down,Rolling_Min_20,down,Month,up
HINOON,Close,60,XGBoost,Rolling_Min_20,down,Ticker_encoded,up,Volatility_20,down
HMB,Close,60,XGBoost,Volatility_20,down,Ticker_encoded,up,Close_to_SMA_200,down
JVDC,Close,60,Random Forest,Volatility_20,down,Close_to_SMA_200,up,Month,up
MARI,Close,60,Random Forest,Month,up,Volatility_20,down,Rolling_Min_20,down
MUREB,Close,60,Random Forest,Volatility_20,down,Rolling_Min_20,down,Close_to_SMA_200,down
NBP,Close,60,XGBoost,Close_to_SMA_200,down,Month,up,Rolling_Max_20,down
NETSOL,Close,60,XGBoost,Volatility_20,down,Rolling_Min_20,down,Ticker_encoded,down
PABC,Close,60,XGBoost,Close_to_SMA_200,down,Volatility_20,down,Month,up
PAKT,Close,60,XGBoost,Rolling_Min_20,down,Volatility_20,down,Close_to_SMA_200,down
PGLC,Close,60,XGBoost,Rolling_Min_20,up,Volume_SMA_20,up,Rolling_Max_20,up
POL,Close,60,Random Forest,Volatility_20,down,Month,up,Rolling_Min_20,down
PTC,Close,60,Random Forest,Close_to_SMA_200,up,Month,up,Rolling_Min_20,up
SAZEW,Close,60,XGBoost,Rolling_Min_20,down,Close_to_SMA_200,down,Ticker_encoded,down
SHFA,Close,60,Random Forest,Volatility_20,down,Rolling_Min_20,down,Month,up
SSGC,Close,60,XGBoost,Volume_SMA_20,down,Close_to_SMA_200,down,Ticker_encoded,down
