Ticker,Target,Horizon,N_Rows,Naive_MAE,Best_Single_Model,Best_Single_MAE,Best_Single_Improvement_over_Naive_%,Ensemble_MAE,Ensemble_Beats_Single,Ensemble_Improvement_over_Naive_%
NESTLE,Open,10,357,160.26,LSTM,180.76,-12.796967988032591,202.81,False,-26.554157032179674
NETSOL,Open,10,357,7.1,Linear Regression,7.07,0.4494258359444677,7.25,False,-2.069584260514695
OGDC,Open,10,357,12.63,LSTM,12.89,-2.0894388176032552,13.29,False,-5.293241659767558
PAKT,Open,10,357,58.54,Linear Regression,58.68,-0.24158619302049786,60.33,False,-3.0645749599460737
PPL,Open,10,357,12.14,Linear Regression,12.06,0.6602245603751425,13.11,False,-8.02447342699519
PSO,Open,10,357,19.57,Linear Regression,19.63,-0.3109504924602432,20.86,False,-6.6097675637912365
SYS,Open,10,355,22.72,XGBoost,23.2,-2.1117443070145385,23.59,False,-3.8463419255673656
TRG,Open,10,357,4.49,LSTM,4.57,-1.6063279265505883,4.61,False,-2.6889659500446594
UBL,Open,10,357,30.47,Linear Regression,29.06,4.6284126392262825,28.98,True,4.912192767596032
UNITY,Open,10,357,1.24,Linear Regression,1.35,-9.020722481969377,1.34,True,-8.018949329564927
BAHL,Close,20,347,11.72,Random Forest,10.77,8.121192498902834,11.61,False,0.9183069024647922
COLG,Close,20,347,41.02,LSTM,36.15,11.861274583087447,34.94,True,14.829516029680134
DGKC,Close,20,347,21.04,GRU,20.31,3.445923880829928,20.52,False,2.4838931839310443
EFERT,Close,20,347,13.36,GRU,12.07,9.646483097370874,12.02,True,10.003340792603318
ENGROH,Close,20,347,17.26,Linear Regression,16.84,2.4070359427081702,17.08,False,1.0672688973380966
FFC,Close,20,347,31.96,Random Forest,27.51,13.929648237488514,28.7,False,10.201658650293524
HBL,Close,20,347,24.96,Random Forest,20.87,16.369415248295585,22.17,False,11.177070706877895
HUBC,Close,20,347,13.68,Random Forest,12.42,9.229017513470145,12.54,False,8.339177847300324
ILP,Close,20,347,5.61,Random Forest,4.74,15.491070236255954,5.15,False,8.236287300607591
INDU,Close,20,347,117.29,Random Forest,110.9,5.446979766384038,115.71,False,1.3440529980388471
LUCK,Close,20,342,113.11,GRU,116.77,-3.2387891356857907,117.43,False,-3.821735723890358
MARI,Close,20,347,38.03,GRU,38.45,-1.1068009034078816,41.25,False,-8.466795116788811
MCB,Close,20,347,20.38,Linear Regression,19.9,2.3639460698926484,19.87,True,2.5414415286702967
MEBL,Close,20,347,28.06,Linear Regression,27.74,1.1395336475969227,28.37,False,-1.1153963209576916
MLCF,Close,20,347,10.35,Linear Regression,10.07,2.62709321199687,10.02,True,3.167609241596002
NESTLE,Close,20,347,218.64,Linear Regression,276.72,-26.564206703821934,294.09,False,-34.50740336906056
NETSOL,Close,20,347,9.65,Linear Regression,9.79,-1.4339416682661517,10.44,False,-8.186525299111814
OGDC,Close,20,347,19.7,Linear Regression,19.42,1.4209807964992751,21.03,False,-6.750089845350755
PAKT,Close,20,347,90.84,LSTM,90.89,-0.054381834914025574,95.59,False,-5.236555632562124
PPL,Close,20,347,17.28,Linear Regression,16.67,3.5267108793824553,18.76,False,-8.600887176770486
PSO,Close,20,347,28.58,Linear Regression,28.34,0.8589515124805741,27.5,True,3.7745013121670445
SYS,Close,20,345,38.99,Random Forest,38.98,0.040919964991682066,38.44,True,1.4257097975050144
TRG,Close,20,347,6.58,Linear Regression,6.78,-3.032499385803052,7.12,False,-8.206606262956758
UBL,Close,20,347,49.18,Linear Regression,47.08,4.276675052303995,49.76,False,-1.1691265739598578
UNITY,Close,20,347,2.16,XGBoost,2.3,-6.590812014587559,2.17,True,-0.32428728618685604
BAHL,Open,20,347,11.46,Random Forest,10.77,6.064395187573472,11.33,False,1.1743873254810822
COLG,Open,20,347,39.0,XGBoost,35.0,10.247161361037513,34.51,True,11.504155258916741
DGKC,Open,20,347,20.65,GRU,19.93,3.485927537684824,20.23,False,2.006670234784003
EFERT,Open,20,347,13.15,GRU,11.84,9.98751948145807,12.24,False,6.961882439103515
ENGROH,Open,20,347,16.67,Linear Regression,16.25,2.533901146081033,16.71,False,-0.22649648034561412
FFC,Open,20,347,31.92,Random Forest,27.53,13.76255961428427,28.24,False,11.5195626797878
HBL,Open,20,347,24.25,Random Forest,20.38,15.959534842658536,21.35,False,11.941431769543462
HUBC,Open,20,347,13.47,Random Forest,11.83,12.165518618921835,12.45,False,7.611458402221756
ILP,Open,20,347,5.64,Random Forest,4.85,13.978506021487414,5.2,False,7.70426017443683
INDU,Open,20,347,112.82,Random Forest,107.38,4.815644617514266,112.24,False,0.5059004140908836
LUCK,Open,20,342,111.59,LSTM,114.83,-2.9003066787752863,117.45,False,-5.248055204726409
MARI,Open,20,347,37.69,GRU,37.99,-0.8008463519850668,40.28,False,-6.8803249068982
MCB,Open,20,347,19.81,GRU,19.33,2.460649500991631,19.95,False,-0.660479508648827
MEBL,Open,20,347,27.6,Linear Regression,27.22,1.3682499089716897,27.41,False,0.6843402736953577
MLCF,Open,20,347,10.12,Random Forest,9.63,4.918379621340669,9.71,False,4.142113996333999
NESTLE,Open,20,347,227.49,Linear Regression,285.72,-25.594876727356894,282.85,True,-24.332760277450852
